product_id,customer_id,id,title,purchased_at,created_at,content,thank_count,rating
631525,22593905,16969600,Cuc ki hai long,2022-07-06 15:43:00,2022-07-07 10:17:40,Dat 2 mon chung 1 don hang de duoc khuyen them qua ma gui 2 don. Biet vay khong mua them,0,5
631525,1975356,2410732,Cuc ki hai long,2019-08-24 12:52:00,2019-08-27 11:21:22,"Tiki co thu voi vo niem phong hay gi, sao lan nao mua hang cung khong co vo niem phong lai. May ma cai srm nay ket cau dac, khong do nhieu lam, gap nhung san pham long hon thi no do het ca roi. Chan khong ta duoc, cu mua hang do tiki trading phan phoi la gap tinh trang nay.",5,5
631525,24090978,15187820,Cuc ki hai long,2022-02-03 12:02:33,2022-02-28 15:04:45,Hada Labo Pro Anti Aging a Lifting Cleanser,0,5
631525,7298595,18198813,Cuc ki hai long,2022-11-11 05:45:36,2022-11-13 21:11:49,Oke. It bot. Chat kem dac. Tac dung chong lao hoa thi khong chac chan. Dong goi cong kenh da man lun tiki a.,0,5
631525,11321006,18523163,Cuc ki hai long,2022-12-27 11:34:36,2022-12-28 11:56:04,"San pham khong co van de gi ngoai tru nap khong mang co, tem, hay mieng nhom nho dan cho mieng chai.",0,5
631525,902859,11888045,Cuc ki hai long,2021-08-17 23:44:44,2021-08-18 10:35:21,Giao hang nhanh  chua su dung nen k biet hieu qua ra sao. Mot thoi gian nua se feedback lai ak ,0,5
631525,11931778,17389479,Cuc ki hai long,2022-08-08 00:12:07,2022-08-12 13:45:33,"Mua nhieu lan roi, rat yen tam ve chat luong. Mua tren tiki trading nen rat yen tam, dong goi sp ki cang, se ung ho lan sau ",0,5
631525,1969429,3273522,"Rua mat sach, da cang,",2020-02-05 00:52:03,2020-03-28 14:41:01,"Dong sua rua mat Hada Labo nay phu hop cho nhung ban don tuoi 25 tro di, vi do nay da bat dau lao hoa ay, nen su dung nhung san pham chua collagen de chong lao hoa da, minh con ket hop su dung kem nua ?rat thich a",4,5
631525,18085144,17091472,Cuc ki hai long,2022-07-07 12:37:51,2022-07-16 19:53:01,"Giao nhanh, dong goi ki ko bi chay do. San pham co thuong hieu nen su dung rat an tam. Date xa nha moi nguoi,",0,5
631525,26829816,15168300,Cuc ki hai long,2022-02-24 16:48:37,2022-02-27 12:39:16,"dung da rat nhe, bot de danh tan va mem min . khong mat nuoc nhu cac dong srm khac , ko kho da sau rua. se trung thanh voi sp",0,5
631525,27431391,17773039,Cuc ki hai long,2022-09-19 19:52:24,2022-09-23 11:48:43,"dung hadalabo lau roi nen yen tam lam, qua tang sieu dang yeu luon, cam on tiki rat nhieu luon a",0,5
